               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027231,            0.048391,           0.0038686,             0.99632,             0.99078,               0.995,             0.84903,            0.017083,            0.041134,           0.0019376,            0.009307,            0.009307,            0.009307
                  37,            0.026184,            0.047488,           0.0040061,             0.99676,             0.99778,               0.995,             0.83422,            0.016693,            0.040771,            0.001914,           0.0092872,           0.0092872,           0.0092872
                  38,            0.025159,            0.047419,           0.0043396,             0.99316,             0.99933,               0.995,             0.83949,            0.018245,            0.041946,           0.0017914,           0.0092674,           0.0092674,           0.0092674
                  39,            0.025364,             0.04461,           0.0036721,             0.99517,             0.99971,               0.995,             0.82535,            0.015784,            0.039371,            0.001764,           0.0092476,           0.0092476,           0.0092476
                  40,            0.025675,            0.045203,           0.0036868,             0.99605,             0.99899,               0.995,             0.77624,            0.015856,            0.040359,           0.0017385,           0.0092278,           0.0092278,           0.0092278
                  41,            0.025073,            0.044974,           0.0041128,             0.99515,             0.99448,             0.99479,             0.81377,            0.017329,            0.040382,           0.0020163,            0.009208,            0.009208,            0.009208
                  42,            0.025001,            0.044094,           0.0037341,             0.99589,             0.99735,               0.995,             0.85806,            0.017729,            0.041252,           0.0016997,           0.0091882,           0.0091882,           0.0091882
                  43,            0.024178,            0.046403,            0.003244,             0.99569,             0.99455,             0.99495,             0.79494,            0.017228,            0.043068,           0.0020857,           0.0091684,           0.0091684,           0.0091684
                  44,            0.023455,            0.043499,           0.0036421,             0.99905,             0.99831,               0.995,             0.74517,            0.017409,            0.041168,           0.0019535,           0.0091486,           0.0091486,           0.0091486
                  45,            0.024147,            0.044983,           0.0036247,             0.99575,                   1,               0.995,             0.84344,            0.014284,            0.038475,           0.0015568,           0.0091288,           0.0091288,           0.0091288
                  46,            0.023618,            0.042889,             0.00331,             0.99526,             0.99153,             0.99487,             0.85982,            0.016074,             0.03894,           0.0020647,            0.009109,            0.009109,            0.009109
                  47,            0.023401,            0.045079,           0.0034864,             0.99563,             0.99604,               0.995,             0.83527,            0.013667,            0.037109,           0.0018438,           0.0090892,           0.0090892,           0.0090892
                  48,            0.023252,            0.042445,           0.0031992,             0.99581,             0.99919,               0.995,             0.84505,            0.016465,            0.040916,           0.0015511,           0.0090694,           0.0090694,           0.0090694
                  49,            0.023411,            0.042721,           0.0035673,             0.99594,             0.99455,               0.995,             0.83953,            0.016586,            0.042213,            0.001466,           0.0090496,           0.0090496,           0.0090496
