                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.44058,                0.28018,                0.83408,                0.95574,                 0.9418,                0.94232,                0.84012,                0.48174,                0.38239,                0.85621,              0.0013052,              0.0013052,              0.0013052
                     37,                  0.444,                0.27515,                0.82811,                0.95219,                0.94271,                0.93397,                0.83631,                0.46625,                0.38528,                0.85221,              0.0013017,              0.0013017,              0.0013017
                     38,                0.44581,                 0.2701,                0.83345,                0.86883,                0.93831,                0.91474,                0.81144,                0.50526,                0.53414,                0.85461,              0.0012981,              0.0012981,              0.0012981
                     39,                0.43395,                0.29061,                0.83041,                0.85434,                0.85753,                0.90415,                0.81816,                0.45114,                0.50209,                0.84569,              0.0012946,              0.0012946,              0.0012946
                     40,                0.44157,                0.28135,                0.83635,                0.86571,                 0.4433,                0.49588,                0.42409,                 0.7819,                 1.6742,                0.98734,              0.0012911,              0.0012911,              0.0012911
                     41,                0.43643,                0.27138,                0.83282,                0.94202,                0.94124,                0.93745,                0.84308,                0.44409,                0.42962,                0.84975,              0.0012875,              0.0012875,              0.0012875
                     42,                0.44048,                0.27405,                0.83588,                0.94936,                 0.9286,                0.96796,                0.86344,                0.44551,                  0.375,                0.85415,               0.001284,               0.001284,               0.001284
                     43,                0.44801,                  0.274,                0.83859,                0.96393,                0.95107,                0.96335,                0.86041,                0.47371,                 0.3471,                0.85849,              0.0012805,              0.0012805,              0.0012805
                     44,                0.43972,                0.26455,                0.83578,                0.94244,                0.90367,                 0.9257,                0.82963,                0.44932,                0.41722,                0.84337,              0.0012769,              0.0012769,              0.0012769
                     45,                0.43768,                0.27068,                0.83184,                0.94163,                0.94813,                0.95586,                0.85566,                0.44035,                0.35405,                0.83113,              0.0012734,              0.0012734,              0.0012734
                     46,                0.43631,                0.26607,                 0.8281,                0.95319,                0.94242,                0.93792,                0.84592,                0.42944,                0.32462,                0.84035,              0.0012698,              0.0012698,              0.0012698
                     47,                0.43345,                0.26753,                0.82958,                 0.9601,                0.94906,                0.95403,                0.86597,                 0.4294,                0.32449,                0.81886,              0.0012663,              0.0012663,              0.0012663
                     48,                 0.4293,                 0.2713,                0.82967,                 0.9535,                0.91924,                0.95294,                0.87139,                0.43178,                0.42204,                0.82938,              0.0012628,              0.0012628,              0.0012628
                     49,                0.43252,                0.26801,                0.83542,                0.92183,                0.92055,                0.93627,                0.84449,                0.44938,                0.44669,                0.82336,              0.0012592,              0.0012592,              0.0012592
                     50,                0.43321,                0.26108,                0.83017,                0.95845,                0.94009,                0.94248,                 0.8612,                0.40995,                0.35789,                0.80913,              0.0012557,              0.0012557,              0.0012557
                     51,                0.42893,                0.26202,                0.83599,                0.95783,                0.94403,                0.95038,                0.85693,                0.43956,                0.36494,                0.82732,              0.0012522,              0.0012522,              0.0012522
                     52,                0.43617,                0.26778,                0.83526,                0.96416,                0.95745,                0.96493,                0.87935,                 0.4304,                0.33931,                0.84422,              0.0012486,              0.0012486,              0.0012486
                     53,                0.42283,                0.24964,                0.83107,                0.95513,                0.94126,                0.96139,                0.86788,                0.43985,                0.36827,                0.84493,              0.0012451,              0.0012451,              0.0012451
                     54,                0.42352,                0.25438,                0.83448,                0.96005,                0.96731,                0.96742,                0.87163,                0.46749,                0.32911,                0.85224,              0.0012416,              0.0012416,              0.0012416
                     55,                0.42556,                0.25269,                0.83349,                0.96802,                 0.9567,                0.97653,                0.89075,                 0.4225,                0.30276,                0.85176,               0.001238,               0.001238,               0.001238
                     56,                0.41955,                0.25321,                 0.8295,                0.95904,                0.95515,                0.96704,                0.87792,                0.42768,                0.32014,                0.86467,              0.0012345,              0.0012345,              0.0012345
                     57,                0.42069,                0.24986,                0.83047,                0.96169,                0.95877,                0.97461,                0.88486,                0.41457,                0.30801,                0.84573,              0.0012309,              0.0012309,              0.0012309
                     58,                0.41571,                0.24251,                0.83149,                0.96186,                 0.9586,                0.95786,                0.86917,                0.43093,                0.33509,                0.83645,              0.0012274,              0.0012274,              0.0012274
                     59,                0.42652,                 0.2554,                0.82962,                 0.9607,                0.94678,                0.95163,                0.86688,                0.42753,                0.35888,                0.84171,              0.0012239,              0.0012239,              0.0012239
                     60,                 0.4374,                0.25522,                0.83742,                0.94794,                0.96273,                0.96791,                0.88301,                0.41475,                0.31137,                0.84118,              0.0012203,              0.0012203,              0.0012203
                     61,                 0.4203,                0.26258,                0.83385,                0.96097,                 0.9574,                0.95422,                 0.8751,                0.41554,                0.32517,                0.83446,              0.0012168,              0.0012168,              0.0012168
                     62,                0.42191,                0.25584,                0.83412,                0.96408,                0.93933,                0.96351,                0.87182,                0.42622,                0.40112,                0.83691,              0.0012133,              0.0012133,              0.0012133
                     63,                0.43029,                0.25614,                 0.8356,                0.96124,                0.95211,                0.95659,                0.87808,                 0.4118,                 0.3408,                  0.818,              0.0012097,              0.0012097,              0.0012097
                     64,                 0.4243,                0.24171,                0.83289,                 0.9588,                0.95066,                0.95081,                0.86575,                0.41742,                0.34749,                0.82032,              0.0012062,              0.0012062,              0.0012062
                     65,                0.42529,                0.26294,                0.83644,                0.95897,                0.95435,                0.95896,                0.86907,                 0.4436,                0.33102,                0.85137,              0.0012026,              0.0012026,              0.0012026
                     66,                0.41694,                0.25558,                0.83209,                0.95586,                0.94674,                0.93502,                0.85441,                0.40432,                 0.3484,                0.86229,              0.0011991,              0.0011991,              0.0011991
                     67,                0.41162,                0.24749,                0.83271,                0.96194,                0.95146,                 0.9672,                0.88328,                0.41407,                0.30847,                0.85698,              0.0011956,              0.0011956,              0.0011956
                     68,                0.42419,                 0.2609,                 0.8336,                0.96028,                0.94545,                0.96948,                0.88834,                0.41938,                0.34905,                0.84663,               0.001192,               0.001192,               0.001192
                     69,                0.41338,                0.24803,                0.83145,                0.96084,                0.94876,                0.95173,                0.87318,                0.40555,                0.35028,                 0.8556,              0.0011885,              0.0011885,              0.0011885
